category,min,max
wine,0.0,1.7540717937051968
figs,0.0,3.0715334293201173
tuna,0.0,5.638354669333745
asparagus,0.0,4.804021044733257
country rice,0.0,5.075173815233827
salmon,0.0,5.78446096786758
sun dried tomatoes,0.0,2.348080884290219
cream,0.0,2.5545643113641567
oregano,0.0,0.6559680220151489
white wine,0.0,0.554807676040213
butter,0.0,1.3778646809911335
parmesan cheese,0.0,3.6109179126442243
rice noodles,0.0,4.1803010719237035
cookies,0.0,3.9512437185814275
tofu,0.0,5.541263545158426
pumpkin seeds,0.0,1.8581345840444863
tatsoi,0.0,4.644408283605647
chicken breast,0.0,5.193264775698722
yam,0.0,4.820281565605037
wild rice,0.0,5.236441962829949
sugar,0.0,3.3987281355817425
mandarin oranges,0.0,4.605170185988092
tomatillo,0.0,3.3858483523595173
corn,0.0,4.382026634673881
jicama,0.0,2.271501463794545
sour cream,0.0,2.4737977572279926
nopales,0.0,2.0176271733330946
tuna salad,0.0,5.43372200355424
beets,0.0,2.057278367984944
bulgur,0.0,4.343805421853684
fried rice,0.0,4.859812404361672
mangos,0.0,3.052979197365705
caesar dressing,0.0,4.812184355372417
croutons,0.0,2.3978952727983707
pickles,0.0,1.0545799381317509
lentils,0.0,4.912654885736052
garden salad,0.0,4.127134385045092
plate only,0.0,4.465908118654584
yogurt,0.0,5.0106352940962555
kimchi,0.0,4.3694478524670215
cranberries,0.0,2.0862077243510586
tortilla chips,0.0,1.4793907286126788
black beans,0.0,4.110873864173311
celery root,0.0,2.206603237666212
bagels,0.0,4.720283037651875
succotash,0.0,4.442651256490317
feta cheese,0.0,2.5843989058414394
orange,0.0,4.859812404361672
brownies,0.0,4.700480365792417
pasta,0.0,5.258137306568709
ketchup,0.0,3.604164374976813
couscous,0.0,4.709530201312334
turnips,0.0,4.438416880631748
ground turkey,0.0,4.672485813019955
chicken salad,0.0,4.584967478670572
ice cream cones,0.0,1.9459101490553132
frozen yogurt,0.0,4.787491742782046
cereal,0.0,1.791759469228055
cream cheese,0.0,3.3603754218641217
sunflower seeds,0.0,1.510094148656521
raisins,0.0,1.7171188937278863
oatmeal,0.0,5.521460917862246
syrup,0.0,3.6651629274966204
pesto,0.0,2.460091450517522
grapefruit juice,0.0,5.497168225293202
brown sugar,0.0,2.3978952727983707
tempeh,0.0,5.313205979041787
parsnips,0.0,4.382026634673881
blue cheese,0.0,3.035566500392335
sandwiches,0.0,4.465908118654584
fruit salad,0.0,5.049856007249537
cod,0.0,4.574710978503383
pilaf,0.0,4.553876891600541
pepperoni,0.0,4.3694478524670215
orange with peel,0.0,4.219507705176107
mozzarella cheese,0.0,3.295836866004329
baby carrots,0.0,2.995732273553991
banana with peel,0.0,4.8283137373023015
wheat bread,0.0,4.418840607796598
chilaquiles,0.0,5.25227342804663
pasta salad,0.0,4.74493212836325
balsamic vinegar,0.0,2.302585092994046
toast,0.0,4.442651256490317
