,0,1,2,3,4
dish_1557862783,0.0,0.0,0.0,0.0,0.0
dish_1558639876,198.0,482.0,0.062,50.9,6.81
dish_1567785654,0.0,0.0,0.0,0.0,0.0
dish_1565030391,521.0,235.6,23.6,43.6,21.1
dish_1559849537,286.0,25.0,1.1,42.2,0.4
dish_1564427455,0.0,0.0,0.0,0.0,0.0
dish_1557937574,18.0,165.0,0.0,2.0,0.94
dish_1558720097,107.0,0.125,2.36,4.375,1.43
dish_1560975628,804.71,395.55,29.93,69.79,34.54
dish_1563551194,299.0,27.0,3.51,12.0,9.0
dish_1558110385,100.0,27.0,0.002,0.08,0.01
dish_1558635523,161.0,125.24,1.584,41.967,2.287
dish_1558376874,446.0,37.92,2.95,5.08,0.71
dish_1561654374,460.0,445.86,0.258,64.57,16.04
dish_1561574394,268.0,70.0,0.8356,14.2,2.07
dish_1562085672,63.52,20.0,0.004,12.28,0.973
dish_1562788568,564.0,230.0,20.32,65.245,14.38
dish_1563996509,311.0,5.644,1.542,28.3,17.444
dish_1565035746,68.0,0.189,0.011,0.052,0.014
dish_1566502573,560.0,74.0,5.63,73.0,18.4
dish_1561393715,104.0,226.526,0.56,22.847,10.521
dish_1562617703,200.0,130.0,8.0,27.0,3.0
dish_1558461431,9.3,20.1,0.1,0.4,0.3
dish_1566849895,65.0,0.99,0.04,0.669,0.003
dish_1562618000,0.0,0.0,0.0,0.0,0.0
dish_1565020867,356.0,60.0,15.0,30.0,10.0
dish_1559841950,430.0,46.025,7.281,45.633,10.3
dish_1560801829,4478.0,4478.0,30.41,70.0,44.05
dish_1558373074,52.9797,0.0832,0.0071,12.58,0.3646
dish_1561577947,0.0,0.0,0.0,0.0,0.0
dish_1559850283,180.0,90.0,9.0,20.0,6.0
dish_1558030182,52.0,45.69,0.252,10.6,0.909
dish_1557937037,64.0,26.0,0.2,12.2,1.02
dish_1558375886,414.0,36.0,3.85,2.268,0.288
dish_1559233445,0.0,0.0,0.0,0.0,0.0
dish_1563389600,236.0,106.0,7.31,12.486,22.16
dish_1558719994,206.0,0.95,0.21,2.1,0.18
dish_1561661377,470.0,41.0,8.62,71.56,4.56
dish_1560526530,354.0,273.0,9.537,54.764,10.33
dish_1564687013,720.0,104.3,26.4,77.9,34.7
dish_1562099053,80.0,46.0,0.0,14.0,1.5
dish_1558549413,204.0,61.0,14.8,6.5,6.3
dish_1563898019,467.3,183.0,31.0,13.5,3.091
dish_1558114209,56.0,80.0,0.0,13.481,0.654
dish_1558030435,258.2,110.8,13.0,25.6,12.1
dish_1566850142,656.0,292.0,47.0,49.0,40.0
dish_1558113430,82.76,28.88,3.12,12.48,2.51
dish_1561662869,492.0,45.0,6.0,19.0,3.5
dish_1564588859,514.0,160.43,8.4559,64.8591,38.039
dish_1559239256,62.0,50.0,0.05,13.72,0.34
dish_1557937079,68.95,27.58,5.949,0.0,1.882
dish_1564773942,331.0,24.3,2.4,13.75,13.18
dish_1560800918,220.0,310.0,0.63,20.4,12.0
dish_1558030289,123.0,66.7,3.8,26.2,2.1
dish_1558461792,232.0,169.7,14.8,23.7,7.9
dish_1561661324,36.0,1.37,2.3,1.6,0.7
dish_1558549605,67.0,28.0,0.5,16.5,0.5
dish_1565986733,0.0,0.0,0.0,0.0,0.0
dish_1560801773,53.81,104.23,3.34,7.65,5.16
dish_1556575327,219.0,44.34,1.74,34.6,4.92
dish_1559578551,180.0,125.0,12.0,0.5,10.75
dish_1566838351,144.0,136.0,2.72,25.2,4.4
dish_1562099134,1044.96,397.21,43.47,124.99,29.13
dish_1562009934,0.0,0.0,0.0,0.0,0.0
dish_1565898193,0.0,0.0,0.0,0.0,0.0
dish_1562774206,406.0,23.0,2.0,41.0,4.0
dish_1560526408,148.0,109.0,7.75,6.342,6.979
dish_1566316681,271.16,134.14,7.899,22.461,2.829
dish_1558635618,614.0,33.5,2.9,19.5,4.5
dish_1565898158,615.0,167.0,25.9,54.8,39.6
dish_1566328776,465.0,388.0,26.0,30.0,21.0
dish_1565638550,84.12,42.14,3.42,9.55,4.26
dish_1564675380,101.0,11.04,6.8,0.0,8.2
dish_1562691032,288.0,18.0,1.72,39.444,1.656
dish_1565711453,89.98,53.18,7.81,0.35,0.97
dish_1563208439,1419.0,278.0,3.98,194.181,62.522
dish_1561741063,104.0,178.0,1.35,13.716,5.985
dish_1557862738,0.0,0.0,0.0,0.0,0.0
dish_1565020822,424.0,60.0,28.0,30.867,10.188
dish_1557937715,80.0,110.0,3.6,11.6,1.5
dish_1558114086,36.74,4.19,0.115,0.1419,0.475
dish_1559849497,215.0,180.0,11.676,14.9,10.2
dish_1558720236,1066.0,290.4,3.3,150.4,36.2
dish_1562008936,0.0,0.0,0.0,0.0,0.0
dish_1564773826,5.0,95.0,1.0,1.0,1.0
dish_1564588820,204.0,72.0,8.116,8.976,25.432
dish_1566328831,0.0,0.0,0.0,0.0,0.0
dish_1565811025,527.8,365.0,13.92,42.52,44.12
dish_1561147944,14.4,35.5,0.6,2.3,1.0
dish_1566414291,305.0,290.0,6.57,46.132,4.281
dish_1563998210,153.0,55.0,10.0,2.0,12.0
dish_1557862696,4426.4835,718.4557,427.9178,144.5408,123.4434
dish_1559239151,126.0,300.0,7.471,11.056,3.276
dish_1562691064,719.429,277.384,29.9771,53.0417,31.1094
dish_1561663606,662.0,82.0,21.32,42.04,28.64
dish_1561405411,432.0,264.0,22.08,21.865,26.95
dish_1561148021,655.8,174.0,23.665,61.314,25.505
dish_1563208412,45.0,20.0,2.25,0.75,0.25
dish_1558630207,163.0,74.0,14.0,20.0,6.5
dish_1562788601,379.0,120.0,10.2,30.361,23.254
dish_1568401199,376.0,50.0,5.09,16.441,12.483
dish_1562009894,207.0,18.78,1.0,18.38,9.37
dish_1565898230,628.8,23.7,4.4736,0.6272,2.12
dish_1560801020,359.0,21.0,2.247,5.251,4.943
dish_1567785709,272.5,53.5,1.489,26.0,15.6
dish_1562099157,402.33,199.76,24.48,20.63,17.36
dish_1562776465,401.0,40.0,2.93,53.84,8.04
dish_1558113941,156.0,68.0,10.0,5.0,3.7
dish_1558630325,354.0,141.0,24.034,16.0,6.52
dish_1562786103,235.0,56.0,13.758,30.472,7.505
dish_1560801041,0.0,0.0,0.0,0.0,0.0
dish_1558031302,238.1327,26.0892,0.5506,49.4012,3.9891
dish_1563996464,960.1,370.92,28.6,84.4,114.7
dish_1558376768,94.34,68.08,0.17,23.56,0.71
dish_1560456370,546.0,400.0,29.63,44.19,32.27
dish_1562876531,0.0,0.0,0.0,0.0,0.0
dish_1566849862,202.0,17.0,0.595,8.45,2.238
dish_1560444967,0.0,0.0,0.0,0.0,0.0
dish_1558641320,311.9,129.8,9.05,35.9,3.9
dish_1563565454,292.0,252.0,9.371,20.2,28.4
dish_1558376801,120.0,36.0,2.0,4.0,4.0
dish_1561739188,0.0,0.0,0.0,0.0,0.0
dish_1565898402,0.0,0.0,0.0,0.0,0.0
dish_1566849987,2933.55,478.01,171.442,253.452,142.104
dish_1558641287,376.19,142.0,0.3979,86.0711,10.3494
dish_1559233570,23.0,23.0,0.0,5.6,0.3
dish_1558641200,312.6,53.815,9.758,44.85,6.395
dish_1561148042,504.94,243.4,12.84,42.97,49.91
dish_1561578839,425.0,34.52,3.108,1.608,0.235
dish_1561405356,190.0,123.0,5.96,17.42,13.73
dish_1565974409,241.0,1828.0,142.66,201.875,198.2867
dish_1565123783,187.0,43.0,7.45,17.477,8.045
dish_1563208459,260.6,85.1,17.1,27.2,5.2
dish_1558110335,146.25,21.88,10.75,0.36,11.03
dish_1565118729,130.0,99.0,9.65,1.589,12.293
dish_1560456326,258.0,99.0,13.0,5.0,19.0
dish_1565898128,250.0,60.0,7.9,30.0,10.0
dish_1564427430,238.0,43.2,6.11,13.072,5.312
dish_1558635546,74.51,1.05,0.0257,19.05,0.288
dish_1558641253,44.0,0.34,0.26,0.25,0.02
dish_1565020796,92.0,1.8,0.07,0.0,1.0
dish_1567107839,150.0,2.0,1.25,5.0,5.0
dish_1558722125,528.0,53.0,63.45,3.068,1.88
dish_1562172643,628.0,44.96,15.875,5.03,9.491
dish_1560801883,513.0,46.0,24.111,8.015,27.301
dish_1562776428,454.0,30.83,17.73,32.47,37.95
dish_1560203400,390.0,128.8,12.7,37.4,16.1
dish_1561739265,817.17,407.708,33.94,68.147,37.891
dish_1560975517,31.0,173.0,0.8416,4.0962,1.4685
dish_1565898331,334.0,75.0,4.9,49.7,11.2
dish_1558639440,75.0,110.0,0.191,17.332,0.566
dish_1566328745,202.0,191.0,0.79,29.53,14.95
dish_1561662814,442.835,550.0,34.5786,23.34,34.008
dish_1563305513,725.263,151.473,17.369,119.576,37.235
dish_1565020926,114.0,670.8,43.04,67.98,29.96
dish_1558546663,230.0,143.0,1.5,35.9,7.5
dish_1564687046,378.227,273.559,19.365,10.756,28.182
dish_1565711498,487.9281,105.506586862929,27.6547136642223,73.7809820693976,28.754362666678
dish_1558461692,413.28,35.0,2.6,7.65,9.333
dish_1560975572,229.0,200.0,13.0,24.0,4.0
dish_1560800951,159.0,145.0,7.97,10.958,5.331
dish_1558461760,120.0,50.0,0.9,6.299,2.0
dish_1565896662,354.0,67.56,6.39,24.74,12.45
dish_1563389548,161.92,81.28,4.42,0.55,28.92
dish_1562168696,127.44,270.6,0.28,31.74,4.09
dish_1557937335,200.0,64.0,11.0,20.0,4.4
dish_1564588919,300.0,250.0,15.0,20.0,20.0
dish_1564428144,493.649,258.45,13.087,64.712,18.362
dish_1563551220,0.0,0.0,0.0,0.0,0.0
dish_1564686966,105.0,51.0,4.081,3.3,12.437
dish_1560456305,2.38,41.11,0.0,0.0274,0.56
dish_1566590007,0.0,0.0,0.0,0.0,0.0
dish_1561662190,271.0,199.0,13.64,25.13,8.056
dish_1558110297,76.0,8.0,0.16,3.2,0.21
dish_1558639555,271.0,206.5,7.6562,40.3984,8.87
dish_1559844458,678.0,72.0,4.912,9.792,0.944
dish_1561741090,452.0,57.0,1.671,76.42,4.82
dish_1566590056,1265.2,262.94,32.76,149.85,70.5
dish_1563984167,144.0,80.0,9.0,18.0,6.0
dish_1560444869,0.0,0.0,0.0,0.0,0.0
dish_1558635400,12.0,5.0,0.21,1.836,0.311
dish_1563295044,360.0,18.9,11.4,6.4,2.9
dish_1562788506,44.07,14.0,0.288,7.902,0.615
dish_1562099076,550.0,47.0,34.84,63.25,14.01
dish_1565894889,456.0,172.8,26.56,38.99,14.98
dish_1558549773,15.0,30.0,0.0226,1.9043,1.3997
dish_1558718610,43.0,46.0,0.774,9.586,1.039
dish_1562774159,0.0,0.0,0.0,0.0,0.0
dish_1559578579,495.0,32.0,2.09,3.97,0.8625
dish_1563221054,360.0,31.74,4.36,25.448,17.924
dish_1563984199,290.0,170.0,13.0,3.0,26.0
dish_1565035858,273.0,57.5,7.14,10.85,20.14
dish_1560367904,400.0,80.0,23.94,10.45,25.61
dish_1558373159,0.0,0.0,0.0,0.0,0.0
dish_1562790824,394.0,227.77,15.62,45.72,30.23
dish_1565020755,0.0,0.0,0.0,0.0,0.0
dish_1561147997,384.0,21.3,17.48,10.9,7.059
dish_1562774180,490.86,32.0,2.8,10.49,2.937
dish_1558719570,52.0,0.127,0.047,0.0975,0.375
dish_1558376483,239.2336,163.843,9.017,23.0364,15.5584
dish_1560975491,90.0,123.0,5.284,6.479,3.013
dish_1565811139,158.75,170.8870740951918,9.820492737062121,19.02682019318033,7.244654493387878
dish_1560367926,760.0,70.0,4.8,10.1,3.1
dish_1565035830,234.0,190.0,12.2,30.8,15.5
dish_1557936645,26.27,52.95,0.06,2.876,0.506
dish_1563897087,180.0,100.0,1.2,10.0,5.0
dish_1560367952,467.5,37.2,4.98,3.51,1.375
dish_1561739212,235.0,48.0,9.45,10.384,7.0
dish_1562168800,256.0,300.0,21.0,23.0,5.5
dish_1563565323,501.0,230.0,15.88,46.44,30.7
dish_1565974375,84.6,51.63,6.872,0.0,4.3
dish_1565638515,292.0,138.0,4.13,25.22,7.29
dish_1565034635,120.0,0.16,0.07,2.15,0.32
dish_1559157454,390.5,62.97,3.51,87.85,6.304
dish_1561667207,312.0,230.0,19.0,20.0,20.0
dish_1562703447,677.5,600.0,26.0315,69.0674,16.5128
dish_1567007719,94.0,122.0,1.0,21.36,1.53
dish_1564428102,150.0,200.0,10.0,30.0,20.0
dish_1558635489,86.0,100.0,1.62,21.0,3.1
dish_1565123881,1622.06,1164.13,217.92,531.36,93.5
dish_1562691000,260.0,285.0,1.25,51.75,1.25
dish_1559578599,648.37,241.3,33.56,26.99,34.24
dish_1562700496,43.0,35.0,0.802,8.935,1.319
dish_1562690886,53.0,94.0,0.9,10.8,1.2
dish_1561405332,56.0,84.5,0.038,10.481,4.0
dish_1558372948,306.0,6.0,0.0,0.0,0.0
dish_1560801797,0.0,6.0,0.02,1.4,0.26
dish_1565810969,14.0,28.0,0.137,0.866,1.528
dish_1561574848,523.0,383.0,24.02,33.987,23.211
dish_1562690950,390.0,26.9,10.4,39.8,9.4
dish_1561663580,192.46,38.47,0.79,37.95,2.56
dish_1566328724,2829.0,95.3,80.155,100.0,135.3
dish_1559842047,132.0,266.0,5.2,29.3,3.6
dish_1559844272,266.77,22.64,1.725,21.03,5.556
dish_1559844323,166.0,70.0,0.742,17.388,2.284
dish_1564773903,17.0,0.535,0.0,3.77,0.56
dish_1559844490,121.0,250.0,1.97,27.29,4.51
dish_1559934477,584.51,264.17,28.44,56.75,31.01
dish_1561393764,340.0,202.576,25.682,40.0,9.258
dish_1561574456,465.829,69.7018,15.426,50.829,19.7018
dish_1559846688,374.66,88.196,3.0315,34.1386,4.3687
dish_1557937758,414.0,36.0,3.85,2.268,0.288
dish_1558376212,204.99,16.0,1.342,1.0915,0.1339
dish_1558549806,283.0,213.0,11.1,31.6,9.9
dish_1563998513,200.0,100.0,10.0,20.0,10.0
dish_1558546558,2918.0,920.6,225.2,166.871,31.342
dish_1561654326,121.0,127.0,2.6,10.4,4.8
dish_1566849923,268.0,16.0,2.5,2.958,0.87
dish_1558375667,510.0,53.7,31.969,15.54,12.006
dish_1558639526,62.69,80.7,0.895,13.302,0.989
dish_1568401302,410.0,43.0,4.1,46.0,35.0
dish_1561574815,135.0,100.0,4.0,10.0,5.0
dish_1560526472,277.5,68.3,2.332,27.28,4.0
dish_1565020895,215.0,200.0,11.3,16.9,13.0
dish_1566851549,0.0,0.0,0.0,0.0,0.0
dish_1563996441,67.0,196.0,4.688,6.16,2.896
dish_1566416701,139.987,72.8,1.6,8.99,18.9797
dish_1560368395,102.0,9.0,0.568,22.527,1.662
dish_1560368506,93.0,75.0,2.5,13.75,2.75
dish_1566838286,60.0,0.071,0.013,14.5,1.0
dish_1562790775,141.0,170.0,11.276,7.26,3.28
dish_1558376364,471.0,41.41,0.024,108.413,6.668
dish_1563220987,420.0,150.0,20.0,10.0,20.0
dish_1558376984,1412.52,41.74,64.77,184.311,40.928
dish_1561662842,94.0,12.0,1.02,2.452,1.482
dish_1561578800,550.0,120.0,17.6,45.5,22.0
dish_1565711527,225.0,184.0,12.0,23.5,10.7
dish_1561739160,147.0,48.0,11.068,0.275,3.205
dish_1563218408,494.312,299.453,34.641,55.721,33.332
dish_1558375833,638.0,62.8,38.1,0.0,33.9
dish_1568401167,442.0,113.0,13.35,26.76,39.63
dish_1567785622,75.0,96.0,0.0,15.0,3.0
dish_1560368464,571.495,124.576,34.021,59.104,26.201
dish_1562008979,381.8,218.0,23.2,27.5,18.8
dish_1566328805,377.9825,76.4652,5.3084,46.0653,13.3673
dish_1557936599,131.0,66.04,0.64,10.31,2.92
dish_1566502537,0.0,0.0,0.0,0.0,0.0
dish_1560444931,528.0,170.5,1.47,104.16,27.55
dish_1558031394,109.8,60.0,0.174,21.24,2.056
dish_1563984140,285.0,120.0,19.1,2.4,16.6
dish_1561661347,180.0,161.0,0.81,15.6,4.5
dish_1558718680,530.0,46.7,33.5,21.2,16.5
dish_1560444948,466.0,186.0,31.3,13.416,8.156
dish_1562690917,88.1,159.3,0.3456,13.89,4.093
dish_1563909507,62.0,78.3,0.73,5.268,1.804
dish_1558722207,65.1,0.165,0.215,15.296,0.576
dish_1559850338,172.0,199.0,10.8,15.0,5.5
dish_1564689108,0.0,0.0,0.0,0.0,0.0
dish_1561654392,343.0,104.92,17.332,18.32,24.72
dish_1563221086,720.55,1051.0,52.58,51.284,73.59
dish_1560800988,0.0,0.0,0.0,0.0,0.0
dish_1562790855,497.0,460.1,24.78,34.745,35.566
dish_1558376437,192.0,220.0,0.743,24.091,3.2
dish_1566587102,350.0,56.5,8.0,29.5,13.5
dish_1559844366,439.0,50.19,4.68,2.68,27.94
dish_1558376938,222.0,165.0,0.0,48.55,2.67
dish_1558376734,114.0,87.0,6.85,7.861,1.637
dish_1562617939,198.4788,56.3738,2.8483,21.7683,6.7917
dish_1563984242,442.59,39.45,2.51,2.754,0.558
dish_1566587143,575.95,185.12,43.66,4.97,54.17
dish_1563897981,120.0,50.0,6.2,14.0,5.551
dish_1558717604,52.2,0.1708,0.107,12.8,0.343
dish_1565034605,274.0,300.0,0.077,6.0,14.0
dish_1563221025,233.0,57.6861,9.7815,7.6193,17.3904
dish_1559233627,280.0,28.0,28.0,0.0,0.0
